"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"pc1"	"pc2"
"27"	"FIN-KEV-GA-44"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-0.460583621288741	0.704668465521687	-0.440981648598157	0.0593497258878362	0.0429685069762408	0.220941705556484	-0.0557042219295075	0.00327795076884621	-0.00441205316441568	0.00139381470152144	-9.27494297844232e-05	-0.00140315610193504	0	-2.08166817117217e-17	81.71	15.93
"28"	"FIN-KEV-GA-46"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-0.561157077197164	0.74593900313665	-0.67989765240603	0.140912308265772	0.0942646985776878	0.0138429286208716	0.118552367860733	0.0724264045846709	0.0075263182165716	-0.00050155623443352	-9.27494297846529e-05	-0.00140315610193543	0	-3.46944695195361e-17	81.71	15.93
"29"	"FIN-KEV-GA-47"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-0.345182604429409	0.836862735811295	-0.572268558913077	0.186134168864407	-0.216108075834776	0.220705447875706	-0.00632944369641821	0.204747100915171	-0.00947748294860231	0.136669901906081	-0.0913375130932975	-0.146037241720278	0	0	81.71	15.93
"30"	"FIN-KEV-GA-48"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-0.54648193171366	0.609623067835668	-0.625803161419656	0.122054505909719	0.0805536353519182	-0.00952491606556221	-0.00412718748055873	-0.00843966040140568	-0.00394318424039579	-0.000365121156594993	-9.27494297845897e-05	-0.00140315610193531	0	-3.46944695195361e-17	81.71	15.93
"31"	"GA-POR-LI-1"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.62467551648692	1.04293932616737	-1.01100442655457	0.808479365781341	-0.129937289925795	-0.314124396224746	-0.945524912134753	1.34423345167067	1.01748129177529	0.188094978257072	-0.00102024372763948	-0.0154347171213013	0	1.11022302462516e-16	81.71	15.93
"32"	"GA-POR-LI-2"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.95013422710587	1.06201842076536	-0.927396012801912	0.548166603209359	0.0199229087770898	-0.171992868193178	-0.466413756299729	0.650919581598483	0.490347224303664	0.0922330763924474	-0.00102024372763505	-0.0154347171212949	0	1.11022302462516e-16	81.71	15.93
"33"	"GA-POR-LI-3"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"34"	"GA-POR-LI-4"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"35"	"GA-POR-LI-5"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"36"	"GA-POR-LI-6"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
