"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"pc1"	"pc2"
"41"	"GA-POR-MI-10"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"42"	"GA-POR-MI-11"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"43"	"GA-POR-MI-12"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.85853957906982	0.0673923196733379	0.0229739776222476	0.00159894339789901	-0.0105766015009904	0.00829525194462171	0.0068847140663319	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"44"	"GA-POR-MI-13"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.85853957906982	0.0673923196733379	0.0229739776222476	0.00159894339789901	-0.0105766015009904	0.00829525194462171	0.0068847140663319	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"45"	"GA-POR-MI-14"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"46"	"GA-POR-MI-15"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"47"	"GA-POR-MI-16"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"48"	"GA-POR-MI-17"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"49"	"GA-POR-MI-2"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"50"	"GA-POR-MI-24"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"51"	"GA-POR-MI-27"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"52"	"GA-POR-MI-28"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"53"	"GA-POR-MI-31"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.58013756228949	0.420848126989176	0.398523201886183	0.836444051077986	-0.0105766015009903	0.00829525194462171	0.00688471406633179	0.0131347245490413	-0.0123159050509392	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.013149126845237	98.62	0.72
"54"	"GA-POR-MI-32"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"55"	"GA-POR-MI-4"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"56"	"GA-POR-MI-6"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"57"	"GA-POR-MI-7"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"58"	"GA-POR-MI-8"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"59"	"GA-POR-MI-9"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"60"	"GA-POR-RA-10"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"61"	"GA-POR-RA-11"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"62"	"GA-POR-RA-12"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.176387554519327	0.0799809158494012	-0.0936330847869739	-0.0505633168943843	0.000556663236894208	-0.000436592207611675	-0.000362353371912224	-0.000691301292054803	0.000648205528996812	0.000424983732651134	3.37152004919252e-05	-0.000629685349315294	-0.000692059307644059	98.62	0.72
"63"	"GA-POR-RA-13"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"64"	"GA-POR-RA-14"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"65"	"GA-POR-RA-15"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	3.79734285092306	0.145086939857315	0.105525045494506	0.185109787500952	-0.0105766015009903	0.00829525194462171	0.0068847140663319	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"66"	"GA-POR-RA-16"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	3.65681092321404	0.0877005871677994	0.0318781794142934	-0.151586588566846	0.0717800128765496	0.113062332347076	-0.0848012365624009	-0.107436461003941	-0.160288773445089	-0.17065417705479	-0.232116973729487	0.0119644399077841	0.0131491268452369	98.62	0.72
"67"	"GA-POR-RA-17"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"68"	"GA-POR-RA-18"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	0.419904086677595	0.978396666999098	-0.285703513481058	-0.1456822412299	-0.11974816991171	-0.153478169044469	0.133570580562159	0.175421541044841	-0.210572468339918	-0.252463555892734	-0.329457918853865	-0.466599436775138	0.806392256181534	98.62	0.72
"69"	"GA-POR-RA-19"	"GA-POR-RA"	"Freshwater"	"Iberian_Peninsula"	"South"	3.1272524240075	0.506189871363105	0.462883531687981	0.620333132664906	0.155722467110292	0.0753324142510986	1.00817418604559	0.190221572615039	-0.252988050256563	-0.0053974253764991	-0.000640588809493582	0.0119640216369907	0.013149126845237	98.62	0.72
