"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"pc1"	"pc2"
"23"	"FIN-KEV-GA-38"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-4.83165500066522	0.137109173974999	0.135326618500348	-0.131398807489078	-0.118760633678727	-0.0471967803012287	0.0648462318196912	0.0676344246828323	0.0755175778632157	-0.0924512599751773	0.000325541876859958	-0.181059206935941	-0.0427925612555619	-0.160210804924526	-0.154482275158284	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0630071723956769	99.14	0.86
"24"	"FIN-KEV-GA-39"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-4.91424355751402	0.109836572272236	0.157871593074744	-0.153767224023111	0.0420332627028286	-0.0332352595429563	0.0504637786749703	0.0520526105090665	0.0584604409421966	-0.0735159628094358	0.000383562363484802	-0.212367691624212	-0.049149035196166	-0.190089589349098	0.00107889810109369	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0133586898675218	99.14	0.86
"25"	"FIN-KEV-GA-41"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-4.83165500066522	0.137109173974999	0.135326618500348	-0.131398807489078	-0.118760633678727	-0.0471967803012287	0.0648462318196912	0.0676344246828323	0.0755175778632157	-0.0924512599751773	0.000325541876859958	-0.181059206935941	-0.0427925612555619	-0.160210804924526	-0.154482275158284	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0630071723956769	99.14	0.86
"26"	"FIN-KEV-GA-42"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-4.83165500066522	0.137109173974999	0.135326618500348	-0.131398807489078	-0.118760633678727	-0.0471967803012287	0.0648462318196912	0.0676344246828323	0.0755175778632157	-0.0924512599751773	0.000325541876859958	-0.181059206935941	-0.0427925612555619	-0.160210804924526	-0.154482275158284	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0630071723956769	99.14	0.86
"27"	"FIN-KEV-GA-44"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-3.41722422482204	0.604186074910866	0.676137484529889	-0.670523732947089	-0.741707239305425	-0.309835487071535	0.346241845672295	0.372495780408749	0.409243922469446	-0.462924190831978	0.00173754440543117	-0.938197083737566	-0.191149816557141	-0.815985083721397	-0.942665132841684	-0.00118452288483996	-0.00722569097044333	0.000931928089977694	0.314561477488491	99.14	0.86
"28"	"FIN-KEV-GA-46"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"29"	"FIN-KEV-GA-47"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"30"	"FIN-KEV-GA-48"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"31"	"GA-POR-LI-1"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.65255362396164	-1.20615547704345	-0.277444935287227	0.278777516855682	0.296596047875917	-0.304403322114839	-0.777280840052563	0.279281884883722	0.307610167385695	0.79574414655074	-0.000741794402819662	0.393688535387743	0.0725562810990444	0.339545945438049	0.237065639392138	0.753714135628013	0.610357712165226	-0.466060222553832	-0.569590558283	99.14	0.86
"32"	"GA-POR-LI-2"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
