"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"28"	"FIN-KEV-GA-46"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-8.15326146213822	0.581426090083807	-0.0409258870699832	-0.476353783995099	-0.103470128456361	-0.122545410720238	-0.0339960476930892	-0.0841850535472635	0.0686945280370846	-0.00790157216194104	0.142568985740108	-0.728064336613639	0.0834810038063058	0.12325135326014	-0.188841611022111	0.0926467547022218	-0.0568150065477624	-0.245233607834758	-0.359968589484208	-0.12543741289812	96.53	0.94
"29"	"FIN-KEV-GA-47"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-0.893668597259716	1.89451739897731	-0.265835198367426	1.25434878345001	0.760651797376915	-2.09139512491971	0.365495738495824	0.094868972194988	3.08470093980826	0.377693603647682	-0.237638644821354	0.134094161599951	-0.451510327949336	0.585257614003586	-0.799205261449679	0.353705240051271	0.780318584028251	0.0149377157476637	-0.337783449088841	0.242555824190091	96.53	0.94
"30"	"FIN-KEV-GA-48"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	0.343896133182062	0.0657436134422096	0.382550455540506	0.293008799997397	0.243014771903234	0.0642513069595256	0.287117568744725	-0.0552139083468209	0.689062888412125	0.539747412287616	-0.0096856306718426	0.0972719247083432	-0.240305586923246	-0.127066507421034	-1.0022721532867	0.349115656407708	-0.208427236474105	-0.129449985903504	-0.485995800197087	-0.104743551403398	96.53	0.94
"31"	"GA-POR-LI-1"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.42111494969431	0.19665340987284	0.363767597454361	-0.566733051550956	-0.100535965334989	-0.0828157951668944	-0.0252305339128874	-0.0696775715340858	0.0600445157900654	0.0190676545151039	0.0222988835339333	0.0453608552839014	-0.0212392073185702	0.16961697364991	-0.0723644575721783	0.0660138082571808	-0.0196574759847205	-0.114161727225973	-0.43707966383727	-0.0845390688107311	96.53	0.94
"32"	"GA-POR-LI-2"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"33"	"GA-POR-LI-3"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.42111494969431	0.19665340987284	0.363767597454361	-0.566733051550956	-0.100535965334989	-0.0828157951668944	-0.0252305339128874	-0.0696775715340858	0.0600445157900654	0.0190676545151039	0.0222988835339333	0.0453608552839014	-0.0212392073185702	0.16961697364991	-0.0723644575721783	0.0660138082571808	-0.0196574759847205	-0.114161727225973	-0.43707966383727	-0.0845390688107311	96.53	0.94
"34"	"GA-POR-LI-4"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-7.94490981114597	-0.350269616786678	0.125854295092785	-0.501215744199297	-1.07270123425491	-0.269471320170388	-0.101172566693097	-0.441529298572966	-0.690004533778987	0.780514415206186	0.137701578311303	0.180505587108299	-0.109349469255504	0.011979691641695	0.0351608455799537	-0.0914062773000676	0.118505373045478	0.0191207179375531	-0.429357566175546	-0.023573316390511	96.53	0.94
"35"	"GA-POR-LI-5"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"36"	"GA-POR-LI-6"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"37"	"GA-POR-LI-7"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-8.42111494969431	0.19665340987284	0.363767597454361	-0.566733051550956	-0.100535965334989	-0.0828157951668944	-0.0252305339128874	-0.0696775715340858	0.0600445157900654	0.0190676545151039	0.0222988835339333	0.0453608552839014	-0.0212392073185702	0.16961697364991	-0.0723644575721783	0.0660138082571808	-0.0196574759847205	-0.114161727225973	-0.43707966383727	-0.0845390688107311	96.53	0.94
